concreteness	aoa	frequency	word
		0.301	dubber
3.04		0.8451	dubbing
1.5			dubiety
1.52	12.19	1.8692	dubious
1.68		0.301	dubiously
1.57			dubiousness
1.36			dubitable
1.62			dubitably
1.67			dubitation
1.92			dubitative
1.58			dubitatively
		1.7993	dublin
		0.7782	dubonnet
2.47		0.6990000000000001	dubs
		1.3222	duc
2.67	11.83	1.4472	ducal
1.8			ducally
3.5	14.36	0.6990000000000001	ducat
		1.6232	ducats
2.4		1.3222	duce
4.46	9.85	2.3598	duchess
3.64		0.6990000000000001	duchesse
		0.8451	duchesses
2.93	12.9	0.7782	duchy
4.86	3.5	3.1017	duck
4.75			duckbill
4.54			duckboard
		1.7924	ducked
3.33	8.27	0.301	ducker
		0.301	duckers
		1.5682	duckie
3.89		1.8633	ducking
4.93	4.95	1.6021	duckling
		0.8451	ducklings
3.94			duckpin
		2.6365	ducks
4.23	10.71	0.301	ducktail
		0.301	ducktails
4.29	13.2	0.301	duckweed
3.03	7.44	2.0043	ducky
4.74	10.74	2.2068	duct
4.96			duct tape
3.29			ductal
3.39			ducted
3.06	14.22	0.301	ductile
2.5			ductility
		0.6990000000000001	ducting
3.25	14.69	0.6990000000000001	ductless
		1.7482	ducts
3.44			ductule
4.81	12.6	0.6990000000000001	ductwork
2.78	8.55	1.8129	dud
		0.4771	duddie
		0.301	duddle
		0.301	duddy
3.93	7.89	3.7052	dude
		0.6021	dudeen
		2.5391	dudes
2.85	11.55	0.8451	dudgeon
		0.301	duding
		2.3711	dudley
		1.8451	duds
3.21	7.53	3.3572	due
3.79	9.45	2.0828	duel
4.0	10.81	0.301	dueler
3.88		1.3802	dueling
3.19		0.4771	duelist
		1.4314	duelling
		0.4771	duellist
		0.301	duellists
1.92			duello
		1.1761	duels
1.8	16.14	0.301	duenna
		2.0212	dues
3.78	8.82	1.8261	duet
		1.0	duets
3.65			duettist
1.93		1.8325	duff
4.12	10.11	1.8865	duffel
4.79			duffel bag
		0.301	duffels
3.14	11.0	1.5185	duffer
		0.301	duffers
		1.1761	duffle
		0.6021	duffs
		2.0531	duffy
4.0		2.659	dug
3.88			dugong
4.68	8.68	1.6721	dugout
		0.4771	dugouts
1.57	8.58	2.3096	duh
		0.6021	dui
3.64			duiker
		0.301	duka
4.0	7.89	3.1065	duke
3.06	11.08	0.7782	dukedom
		2.0128	dukes
		0.301	dukeship
		0.6990000000000001	dulce
2.33	15.17	0.9031	dulcet
1.62			dulcetly
1.92			dulcification
1.5			dulcify
4.15	14.0	0.7782	dulcimer
		0.8451	dulcinea
1.86			dulia
2.37	8.05	2.7903	dull
2.52	12.77	1.3424	dullard
		0.6021	dullards
		1.0792	dulled
2.54		1.1761	duller
		1.2553	dullest
2.21			dullish
2.14	8.9	0.9031	dullness
		1.0414	dulls
		0.7782	dullsville
2.67		0.4771	dully
		0.301	dult
		1.5563	duluth
1.68	11.4	1.8451	duly
		2.2430000000000003	dum
	14.5	1.6232	duma
		0.7782	dumas
2.36	4.5	3.3795	dumb
2.75			dumbass
4.69	7.56	1.415	dumbbell
		0.7782	dumbbells
		0.4771	dumbed
		1.9494	dumber
		2.1106	dumbest
1.79	10.47	0.6021	dumbfound
		0.9031	dumbfounded
2.5			dumbfounder
		0.4771	dumbhead
		0.6021	dumbing
		1.6532	dumbledore
2.19		0.4771	dumbly
1.68	7.58	0.9031	dumbness
		1.6812	dumbo
		0.4771	dumbos
2.12	11.26	0.6021	dumbstruck
4.55	11.47	1.2304	dumbwaiter
		0.301	dumbwaiters
		0.9031	dumby
3.21		0.301	dumdum
		0.301	dumdums
1.73			dumfound
		0.301	dumfounded
		0.6021	dummied
		1.7924	dummies
		1.0792	dummkopf
		0.301	dummkopfs
3.96	5.17	2.6998	dummy
		0.301	dummying
3.93	6.58	3.1676	dump
3.79			dumpcart
		2.9619	dumped
3.48	9.56	0.9542	dumper
		0.4771	dumpers
		0.4771	dumpier
1.79			dumpily
2.16			dumpiness
3.43		2.3096	dumping
		0.4771	dumpings
2.18			dumpish
2.29			dumpishness
4.65	8.5	1.6628	dumpling
		1.9138	dumplings
		2.1399	dumps
4.68	9.06	2.3096	dumpster
		1.3979	dumpsters
		1.3222	dumpty
2.38	8.28	1.1761	dumpy
1.92	13.0	1.1461	dun
3.22	9.21	1.415	dunce
		1.0414	dunces
		1.6435	dundee
		0.301	dunder
2.21	11.91	1.0	dunderhead
1.47			dunderheaded
2.14			dunderheadedness
		0.301	dunderheads
4.46	9.65	1.716	dune
		1.6628	dunes
4.64	11.05	1.959	dung
3.6	12.47	0.6021	dungaree
		1.0414	dungarees
4.32	7.55	2.1206	dungeon
		1.5911	dungeons
		0.4771	dunger
4.33	12.25	0.6990000000000001	dunghill
2.47	10.5	0.301	dungy
4.52	6.58	2.1239	dunk
		1.3617	dunked
3.64		0.301	dunker
		0.4771	dunkers
		1.3222	dunking
		1.415	dunkirk
		0.301	dunkle
		0.9542	dunks
2.33			dunlin
		2.0645	dunne
		0.7782	dunner
		0.4771	dunnest
		1.0414	dunning
		2.3118	dunno
		0.301	dunny
2.73			duns
		0.6021	dunst
		0.301	dunster
3.7	7.94	1.8921	duo
3.06			duodecimal
2.48			duodecimally
2.07			duodecimo
4.17		0.301	duodena
2.8	13.86	0.4771	duodenal
2.5			duodenary
3.93	14.5	1.1761	duodenum
1.87			duologue
		0.301	duomo
2.18			duopolistic
2.68			duopoly
2.44			duotone
1.71	14.4	0.301	dup
1.82			dupable
		0.6021	dupatta
2.23	11.81	1.5315	dupe
		1.6128	duped
2.06		1.6021	duper
1.88			dupery
		0.301	dupes
		0.301	duping
2.29			duple
2.8			duplet
4.18	11.05	1.3979	duplex
2.38			duplicability
2.19			duplicable
3.46	8.95	2.0719	duplicate
		1.6335	duplicated
		1.4914	duplicates
		1.0	duplicating
3.3	12.11	0.9031	duplication
		0.4771	duplications
2.17			duplicative
3.52	9.68	0.301	duplicator
1.38	13.83	1.0414	duplicitous
2.12	12.42	1.0792	duplicity
		0.301	duppy
		1.1761	dur
		0.9542	dura
2.81	10.05	1.0792	durability
3.03	11.79	1.2788	durable
2.36			durableness
2.78			durably
		0.8451	dural
3.11			duralumin
1.8			durance
		1.4914	durant
		1.0	durante
2.08	10.32	1.9138	duration
1.67			durational
1.86			durative
3.33	17.0	0.6021	durbar
2.27	14.0	1.7782	duress
		1.7559	durham
3.82	15.5	0.9031	durian
		0.7782	durians
1.48	6.8	3.588	during
3.22			durmast
		0.9542	durn
		0.4771	durned
		0.9542	durning
3.0			durra
1.93		1.1139	durst
2.82			durum
4.24	8.74	1.7924	dusk
2.59			duskily
2.58			duskiness
2.33			duskish
2.65	8.88	1.3424	dusky
4.4	5.06	3.0853	dust
4.13			dust bowl
4.59			dust cloud
4.54	9.28	0.9031	dustbin
		1.7993	dusted
4.64	8.11	1.3222	duster
		1.1461	dusters
		0.301	dustier
2.24			dustily
3.18			dustiness
4.4		1.8325	dusting
3.5			dustless
3.86	10.93	0.6990000000000001	dustman
5.0	6.47	1.1461	dustpan
		0.4771	dustpans
3.21			dustproof
		0.6990000000000001	dusts
	11.58	0.4771	dustup
3.79	4.74	2.4533	dusty
		2.8819999999999997	dutch
4.59			dutch oven
		0.4771	dutching
		1.9243	dutchman
		0.9542	dutchmen
1.5			duteous
2.25			duteously
1.74			duteousness
1.89	13.27	0.301	dutiable
		2.6053	duties
1.82	10.84	1.2041	dutiful
1.45		0.7782	dutifully
2.0			dutifulness
		1.0414	dutra
2.19	7.15	3.415	duty
2.42			duty free
1.83			duumvir
1.33			duumvirate
4.85	15.0	1.1139	duvet
1.0		0.301	duvetyn
3.09		1.3222	dux
		0.6021	dvorak
4.45	7.65	2.1987	dwarf
		0.6021	dwarfed
		0.4771	dwarfing
3.62	13.25	0.4771	dwarfish
2.75			dwarfishly
3.12			dwarfishness
3.89	11.06	0.301	dwarfism
		1.7482	dwarfs
		1.7634	dwarves
2.77	9.0	1.4624	dweeb
		0.6990000000000001	dweebs
2.62	10.78	2.1553	dwell
2.29		0.6990000000000001	dwelled
3.5	9.84	1.0	dweller
		1.2041	dwellers
4.14	9.05	1.8388	dwelling
		1.0	dwellings
		1.2553	dwells
2.12		0.7782	dwelt
		2.4393	dwight
2.25	11.25	0.7782	dwindle
		0.6990000000000001	dwindled
		0.301	dwindles
2.4	11.83	1.1461	dwindling
		0.4771	dy
3.78			dyad
1.82			dyadic
	16.0	0.4771	dybbuk
		0.301	dybbuks
4.58	7.56	2.2967	dye
		1.8692	dyed
3.67		1.0792	dyeing
3.52		1.3979	dyer
		1.4771	dyes
3.14			dyestuff
4.4			dyewood
3.16		3.5336	dying
4.24	13.67	2.1239	dyke
		0.301	dyked
		1.5441	dykes
2.44	12.0	2.0334	dynamic
1.88			dynamical
1.9			dynamically
1.96		1.6435	dynamics
1.85	14.94	0.301	dynamism
2.39			dynamist
1.6			dynamistic
4.68	7.11	2.7126	dynamite
		1.0414	dynamited
3.62	10.91	0.6990000000000001	dynamiter
		0.301	dynamites
2.15			dynamitic
3.12		0.6990000000000001	dynamiting
2.71	12.32	1.4314	dynamo
2.75			dynamoelectric
4.0		0.4771	dynamometer
2.8			dynamometric
1.62			dynamometrical
1.81			dynamometry
		0.6021	dynamos
3.73	14.09	0.301	dynamotor
1.67			dynast
1.6	13.93	0.301	dynastic
1.5			dynastical
1.56			dynastically
		0.9031	dynasties
2.46	10.5	2.1173	dynasty
3.17			dynatron
2.2			dyne
		0.4771	dys
		0.301	dysarthria
		0.301	dysautonomia
2.16			dysenteric
3.45	13.63	1.6721	dysentery
1.88	11.21	1.7924	dysfunction
1.93	11.47	1.8976	dysfunctional
		0.6021	dysfunctions
1.75			dysgenic
1.85	18.4	0.4771	dysgenics
		0.301	dyslectic
2.64	12.32	1.1461	dyslexia
2.42	13.26	1.2553	dyslexic
1.89	13.12	0.301	dyslogistic
1.75			dyslogistically
		0.301	dysmenorrhea
2.2			dysmenorrheal
3.5			dyspepsia
2.59	17.45	0.6990000000000001	dyspeptic
1.71			dyspeptically
1.88	16.4	0.301	dysphasia
1.55			dysphasic
1.89			dysphonic
1.55		0.7782	dysphoria
		0.6021	dysphoric
3.12	16.2	0.8451	dysplasia
2.21			dysplastic
3.0		0.6021	dyspnea
1.81	12.33	0.301	dysprosium
		0.301	dystonia
		0.4771	dystonic
1.92	16.81	0.301	dystopia
1.82			dystrophic
2.78	12.8	1.0792	dystrophy
		0.8451	dz
2.31		3.5686	e
2.18		0.7782	ea
2.03	4.95	4.1112	each
		1.0	ead
1.93	8.5	2.5453	eager
1.6		1.5315	eagerly
1.69	10.94	1.1461	eagerness
5.0	5.83	2.7686	eagle
		2.281	eagles
4.09			eaglet
3.57			eaglewood
		1.0414	eam
5.0	3.63	3.213	ear
4.77			ear canal
4.68			ear lobe
3.56	6.06	1.2041	earache
		0.4771	earaches
4.13			earbob
4.3	9.24	0.4771	eardrop
		0.301	eardrops
4.58	7.95	1.2041	eardrum
		1.4314	eardrums
2.76		0.301	eared
4.71			earflap
		0.6021	earflaps
1.96	8.32	1.3617	earful
		0.301	earhole
		0.301	earing
		0.4771	earings
2.85	10.59	3.0183	earl
3.11			earlap
2.95	12.3	0.6021	earldom
4.07	9.33	0.6990000000000001	earless
		3.3034	earlier
		2.0755	earliest
2.89			earlike
2.0			earliness
4.96	6.0	1.2553	earlobe
		1.2041	earlobes
		1.1139	earls
2.25	5.31	3.7412	early
2.1			early on
3.07	11.83	0.6021	earmark
		1.1139	earmarked
		0.9542	earmarks
4.85	7.0	0.6021	earmuff
		1.2553	earmuffs
2.39	7.57	2.8943	earn
		2.8109	earned
3.7	10.84	1.2788	earner
		0.9542	earners
2.24	10.22	1.9085	earnest
1.7		1.0792	earnestly
1.66	11.94	0.6021	earnestness
2.93		2.1206	earning
4.39	8.06	1.6902	earnings
		1.699	earns
4.74	9.45	0.8451	earphone
		1.2304	earphones
4.79	10.28	1.4472	earpiece
		0.6021	earpieces
4.82	7.58	0.6021	earplug
4.9		1.6435	earplugs
4.96	7.17	2.1430000000000002	earring
		2.4969	earrings
		3.2319999999999998	ears
2.96	10.48	1.301	earshot
2.5			earsplitting
4.8	5.37	3.7054	earth
2.96			earthborn
2.71	11.94	1.2304	earthbound
2.64		0.301	earthed
2.81	12.82	0.6021	earthen
4.48			earthenware
2.17			earthiness
3.0	14.17	0.301	earthlight
3.27			earthlike
2.04			earthliness
3.85	11.63	1.5563	earthling
		1.5051	earthlings
2.41	9.38	1.8865	earthly
4.39	9.06	1.2553	earthman
		0.7782	earthmen
3.39			earthmover
3.29			earthnut
3.97	7.53	2.5132	earthquake
		1.8388	earthquakes
		1.0792	earths
2.82			earthshine
3.67			earthstar
2.73		0.6021	earthward
2.92			earthwards
3.48			earthwork
4.89	5.35	0.9031	earthworm
		1.0792	earthworms
2.15	9.11	1.3424	earthy
4.87	6.39	1.0	earwax
4.78	10.71	0.7782	earwig
		0.301	earwigs
		0.301	earwitness
4.23			earworm
2.32	9.11	2.989	ease
		1.4314	eased
1.93	12.56	0.4771	easeful
1.68			easefully
1.43			easefulness
4.97	7.0	1.1761	easel
		0.301	easels
2.88	11.69	0.9542	easement
2.25	9.6	0.301	easer
		1.2788	eases
1.62		3.3038	easier
2.04		2.3118	easiest
1.8		3.0615	easily
2.21	8.44	0.301	easiness
2.29		1.4914	easing
3.04	6.94	3.4028	east
3.22	9.72	1.6128	eastbound
3.92			eastcoast
2.83		2.5832	easter
4.28			easter bunny
4.85			easter egg
2.54	13.25	0.9031	easterly
3.11	8.61	2.6180000000000003	eastern
3.19		0.6021	easterner
		0.9542	easterners
2.96	11.5	0.301	easternmost
		0.301	easters
2.15	10.33	0.301	easting
		0.301	eastland
		1.7634	eastman
4.15		0.9031	eastward
2.86			eastwardly
2.07	5.43	4.132	easy
4.93			easy chair
1.59	9.4	1.3617	easygoing
1.71			easygoingness
		0.301	easylike
4.44	2.78	4.1088	eat
3.58			eat out
3.11	8.93	0.6021	eatable
		0.6990000000000001	eatables
3.61		2.9675	eaten
3.75	5.94	1.9085	eater
		0.6021	eateries
		1.3802	eaters
4.48	10.61	1.0414	eatery
		0.301	eath
4.14		3.4918	eating
3.79		2.8102	eats
	14.71	1.3979	eau
4.67		0.7782	eave
		0.4771	eaver
4.62	12.4	0.7782	eaves
2.85	8.86	1.6128	eavesdrop
		0.9031	eavesdropped
3.62	9.45	0.6990000000000001	eavesdropper
		0.301	eavesdroppers
3.04		1.7324	eavesdropping
4.17			ebay
2.61	11.12	1.2788	ebb
		0.4771	ebbed
		1.301	ebbets
		0.6021	ebbing
		0.9031	ebbs
		1.8513	ebenezer
2.86			ebon
3.4	11.38	0.301	ebonite
1.88			ebonize
4.0	11.18	1.6532	ebony
4.65			ebook
1.59			ebullience
1.78	16.5	0.4771	ebullient
1.5			ebulliently
2.0			ebullioscopy
1.67	16.67		ebullition
2.0			eburnean
		1.4472	ec
3.48			ecard
1.81	12.6	2.2553	eccentric
1.78		0.4771	eccentrically
		1.3222	eccentricities
1.84	13.74	1.0414	eccentricity
		0.6021	eccentrics
		1.0414	ecch
		0.301	ecchymoses
		1.2304	ecchymosis
2.57			ecclesia
1.67			ecclesial
3.36			ecclesiarch
2.23			ecclesiast
		0.9542	ecclesiastes
2.09			ecclesiastic
1.74	13.79	1.0792	ecclesiastical
1.81			ecclesiastically
1.14			ecclesiasticism
2.72			ecclesiastics
1.86			ecclesiolatry
1.55			ecclesiological
2.68			ecclesiologist
1.8			ecclesiology
1.77			eccrinology
2.67			ecdysiast
		0.301	ecdysis
2.29	13.5	1.6628	echelon
		0.6990000000000001	echelons
3.87		1.6021	echidna
		1.1139	echinacea
3.81			echinoderm
3.54			echinoid
2.67			echinus
3.64	8.0	2.5453	echo
4.3	17.5	0.4771	echocardiogram
		1.1461	echoed
3.44			echoer
		1.8261	echoes
		0.301	echoey
3.56	16.19	0.4771	echogram
2.45			echography
1.85			echoic
		2.1206	echoing
2.23			echoingly
1.88			echoism
2.29			echolalia
3.17			echoless
	14.57	0.301	echolocate
3.26	10.15	0.7782	echolocation
2.0			echopractic
		0.6990000000000001	echos
4.75	10.76	1.0414	eclair
		1.0	eclairs
		0.301	eclat
2.26	12.83	1.3222	eclectic
2.16			eclectically
1.52			eclecticism
2.13			eclectics
4.17	10.21	2.1614	eclipse
		1.0	eclipsed
2.72			eclipser
		1.0	eclipses
		0.301	eclipsing
2.5			ecliptic
2.6			eclogue
		0.301	eclogues
		0.8451	eco
		0.301	ecocidal
2.6			ecocide
		0.6990000000000001	ecole
2.25			ecologic
2.62	13.39	1.3802	ecological
2.37		0.4771	ecologically
3.68	12.65	0.4771	ecologist
2.64	12.72	1.2041	ecology
		1.3802	econ
1.75			econometric
3.38			econometrician
2.15			econometrics
2.2	12.0	2.4048	economic
2.48			economic crisis
2.62			economic growth
2.22	11.56	1.2553	economical
2.11		1.4914	economically
1.77	12.3	2.1038	economics
		1.3802	economies
		0.301	economise
3.25	12.32	1.0792	economist
		0.8451	economists
2.13			economization
1.82	14.55	1.1139	economize
2.96			economizer
		0.4771	economizing
2.57	12.56	2.4728	economy
2.84			ecospecies
3.42			ecosphere
4.11	11.06	1.5185	ecosystem
		0.9542	ecosystems
2.3			ecotourism
2.8			ecotype
		0.4771	ecoute
3.81	12.17	0.9031	ecru
		0.6990000000000001	ecstasies
2.04	13.47	2.2122	ecstasy
2.41	13.26	1.8451	ecstatic
2.21		0.6021	ecstatically
1.29			ectoblastic
2.93	15.5	0.301	ectoderm
		0.4771	ectodermal
2.46			ectodermic
		0.301	ectomorph
3.11	15.06	0.9542	ectopic
3.0	13.15	1.301	ectoplasm
		1.0	ectoplasmic
		0.9031	ectopy
2.67			ectypal
2.43			ectype
		0.301	ecu
		1.301	ecuador
2.0	14.56	1.0	ecumenical
1.57			ecumenicalism
1.76			ecumenically
1.22			ecumenicity
1.47			ecumenism
4.23	13.05	1.0	eczema
		0.301	eczemas
2.2	16.5		eczematous
		3.5865	ed
1.17			edacious
1.59			edacity
2.92	16.0	0.4771	edam
		0.301	edaphology
		0.301	edda
		0.8451	eddies
2.33			eddo
3.77		2.2672	eddy
4.06	13.44	1.3424	edelweiss
3.92	15.07	1.7404	edema
2.4	19.2	0.6021	edematous
		2.301	eden
3.33			edentate
2.0			edentulous
		2.8109	edgar
4.24	6.17	3.0792	edge
2.21			edge in
2.97		1.0414	edged
2.56			edgeless
4.2		0.301	edger
		2.1644	edges
3.33	12.29	0.6021	edgeways
2.33	10.53	1.2553	edgewise
		0.7782	edgier
2.07	12.78	0.301	edginess
3.68		1.2041	edging
1.87	9.22	2.0682	edgy
2.42	11.0	0.301	edibility
3.55	8.68	1.8513	edible
2.71			edibleness
3.86	11.17	0.4771	edibles
2.63	14.53	1.2304	edict
2.3			edictal
		0.9542	edicts
1.79	14.44	1.2041	edification
1.78			edificatory
3.64	14.07	1.3424	edifice
		0.301	edifices
2.16			edificial
		0.4771	edified
2.06			edifier
1.76	12.87	0.6021	edify
1.65	13.44	0.7782	edifying
1.76			edifyingly
		1.8921	edinburgh
		2.0899	edison
3.28	9.57	1.8921	edit
		1.7853	edited
		2.2788	edith
3.17	10.21	2.0374	editing
3.21	8.42	2.3979	edition
		1.6812	editions
4.25	10.11	2.8021	editor
3.44	13.7	2.0492	editorial
		0.4771	editorialise
		0.4771	editorialising
2.29	12.94	0.6990000000000001	editorialize
		0.301	editorialized
		0.7782	editorializing
2.24		0.4771	editorially
		1.3979	editorials
		1.9031	editors
2.14	12.47	0.301	editorship
		1.0414	edits
		0.6990000000000001	eds
2.04			educability
1.77	16.33		educable
2.12	7.84	2.0212	educate
2.19		2.4518	educated
		0.6021	educates
		1.4314	educating
2.93	6.7	2.9987	education
2.1	8.26	2.2253	educational
3.54			educationalist
2.07		0.4771	educationally
2.62			educationist
		0.8451	educations
2.09			educative
4.0	8.55	1.3979	educator
		1.0414	educators
2.24			educatory
1.93	15.33		educe
1.57			educible
2.58		0.301	edutainment
		3.022	edward
		0.6990000000000001	edwardian
		2.3784	edwards
		2.2856	ee
		1.0414	eek
4.69	6.47	1.8692	eel
4.42			eelgrass
2.75			eelpout
		1.7924	eels
		0.301	eelskin
4.45			eelworm
2.4			eely
		1.0414	een
1.63	9.37	1.9542	eerie
			eeriest
1.85		1.0414	eerily
2.0			eeriness
		0.301	eery
		1.3617	ef
1.5		1.1761	eff
1.73	16.69	0.4771	effable
2.32	13.2	0.301	efface
2.08			effaceable
		0.7782	effaced
2.12	15.56	0.301	effacement
2.67			effacer
1.8	9.26	3.0864	effect
		1.2788	effected
2.47			effecter
1.64			effectible
		0.7782	effecting
2.04	10.83	2.73	effective
2.04	10.12	2.0682	effectively
2.07	12.3	1.4472	effectiveness
1.54			effectivity
		0.8451	effectors
2.83		2.8129	effects
1.74	11.89	0.6021	effectual
1.77			effectuality
1.8			effectually
1.74			effectualness
1.84			effectuate
		0.4771	effectuated
1.68			effectuation
		0.301	effed
1.6	15.5	0.301	effeminacy
2.05	13.47	1.2041	effeminate
2.0			effeminately
2.23			effeminateness
2.0			effeminize
2.36	15.86	1.2553	effendi
		0.301	effendis
2.18			efferent
2.47	14.0	0.301	effervesce
2.08	13.5	0.8451	effervescence
2.33			effervescency
2.67	14.63	1.0414	effervescent
		0.301	effervesces
1.67	15.67	0.6021	effete
2.67			effeteness
1.43	16.36	1.0414	efficacious
1.32			efficaciously
1.5			efficaciousness
1.76			efficacity
2.0	14.94	1.2041	efficacy
		0.6990000000000001	efficiencies
2.15	9.67	2.1461	efficiency
1.82	11.53	2.4048	efficient
1.78		1.5315	efficiently
		0.6021	effigies
3.79	13.76	1.1761	effigy
2.0		1.1761	effing
2.25	18.5	0.6021	effleurage
2.33			effloresce
1.95			efflorescence
2.79			efflorescent
		0.301	efflorescing
2.19			effluence
2.13	15.73	0.6990000000000001	effluent
2.75		0.301	effluvia
1.83			effluvial
1.54			effluvious
2.58	16.0	0.301	effluvium
2.57			efflux
		0.301	efforce
2.33	8.16	2.9948	effort
1.89			effortful
1.96	9.78	1.3424	effortless
1.97		1.0414	effortlessly
		2.5752	efforts
		0.301	effraction
2.14	12.86	1.3617	effrontery
2.25			effulge
1.78	13.62	0.301	effulgence
2.58	13.5	0.9031	effulgent
1.22			effulgently
1.56			effuse
		0.301	effused
2.0	14.29	1.2304	effusion
		0.4771	effusions
1.81	13.27	0.9031	effusive
1.52		0.301	effusively
1.55			effusiveness
		0.301	eg
1.58		0.7782	egad
		1.0792	egads
1.8	15.58	0.6990000000000001	egalitarian
2.1			egalitarianism
4.97	3.89	3.1235	egg
4.97			egg roll
4.83			egg white
4.89	9.05	1.1139	eggbeater
		0.6021	eggbeaters
4.27	7.69	0.301	eggcup
		1.0792	egged
2.38			egger
		0.4771	eggers
4.63			eggfruit
3.17	8.63	1.7634	egghead
		0.301	eggheaded
		0.301	eggheadedness
		1.301	eggheads
3.21		1.0792	egging
2.97	11.61	0.4771	eggless
5.0	7.45	1.9031	eggnog
		0.7782	eggnogs
4.97	8.3	1.7559	eggplant
		0.9031	eggplants
4.94	8.47	0.301	eggroll
		0.301	eggrolls
		3.2949	eggs
4.77	7.11	1.3802	eggshell
		1.2041	eggshells
		0.6021	eggy
2.19	18.0		eglantine
1.74	10.89	2.5832	ego
2.07	14.27	1.1139	egocentric
1.81			egocentricity
1.59			egocentrism
1.48	15.62	0.4771	egoism
2.52	13.5	0.7782	egoist
1.72	13.75	0.301	egoistic
1.44			egoistical
1.64			egoistically
1.52	15.0	0.4771	egomania
2.39	11.95	1.5563	egomaniac
1.7	14.12	1.0	egomaniacal
		0.6990000000000001	egomaniacs
		1.6721	egos
1.9	13.68	0.9542	egotism
2.15	13.38	0.9031	egotist
1.9	13.0	0.4771	egotistic
1.76	14.18	1.5563	egotistical
1.52			egotistically
1.91	14.55	1.2553	egregious
2.18		0.7782	egregiously
1.58			egregiousness
3.17	17.46	1.0414	egress
2.56			egression
4.17	13.75	0.4771	egret
		0.6021	egrets
		2.4330000000000003	egypt
		2.3096	egyptian
		1.7782	egyptians
		0.301	egyptologist
		0.7782	egyptology
1.04		3.4183	eh
3.27	14.38	0.4771	eider
3.38	13.0	0.6021	eiderdown
1.6	16.75	0.6021	eidetic
2.0			eidolon
		1.9823	eiffel
		0.301	eigenvalue
		0.301	eigenvalues
4.04	5.36	3.6999	eight
		1.0414	eightball
3.96		2.4928	eighteen
1.25			eighteenmo
3.64		1.3802	eighteenth
2.39	12.71	0.6021	eightfold
3.62	6.05	2.5453	eighth
2.5			eighthly
		0.8451	eighths
		1.4624	eighties
2.88		0.301	eightieth
		1.7924	eights
3.41	5.87	2.1139	eighty
2.12			eightyfold
2.78			einkorn
		2.4314	einstein
	14.33	0.301	einsteinium
		0.6990000000000001	eisenberg
		2.1644	eisenhower
2.67	25.0		eisteddfod
1.81	6.28	3.9689	either
4.31	13.32	1.3979	ejaculate
		0.9542	ejaculated
		0.7782	ejaculates
		0.301	ejaculating
4.17	13.18	1.4771	ejaculation
3.36	14.32	0.8451	ejaculator
		0.6021	ejaculators
2.58	14.05	0.4771	ejaculatory
3.22	8.05	1.8633	eject
		0.4771	ejecta
		0.4771	ejectable
		1.4771	ejected
		1.1461	ejecting
3.03	10.53	1.4914	ejection
2.39			ejective
3.67	9.86	1.2041	ejector
		0.6021	ejectors
		0.6990000000000001	ejects
2.0	13.5	0.6990000000000001	eke
1.9		0.6990000000000001	eking
1.62		2.9832	el
4.0			el nino
2.68	11.53	2.3856	elaborate
		0.7782	elaborated
2.15		0.6990000000000001	elaborately
2.32			elaborateness
		0.6021	elaborates
		0.9031	elaborating
2.11	13.63	0.6990000000000001	elaboration
		0.301	elaborations
2.19			elaborative
2.63			elaborator
		2.8531	elaine
2.08		0.6021	elan
2.43	16.2	0.301	eland
2.29			elapid
2.04			elapse
		1.415	elapsed
		0.4771	elasmosaur
3.73	8.85	1.7324	elastic
4.89			elastic band
2.96			elastically
2.92	11.61	1.2788	elasticity
2.39			elasticize
		0.301	elasticized
		0.7782	elastin
		0.301	elastomer
2.33			elastomeric
		0.301	elastomers
2.07			elate
2.28	11.89	1.1761	elated
1.96			elatedly
2.39			elatedness
2.12			elaterid
2.75			elaterium
		0.301	elating
2.08	11.41	1.2788	elation
		0.301	elations
1.58			elative
		0.301	elb
5.0	4.78	2.4969	elbow
3.43		0.9031	elbowed
		0.8451	elbowing
3.18			elbowroom
		2.1004	elbows
		0.6021	eld
3.59	7.67	2.5563	elder
		0.301	elderberries
4.0	11.28	1.1139	elderberry
3.54			eldercare
4.37			elderflower
		0.301	elderlies
3.32			elderliness
3.68	8.17	2.3222	elderly
		2.4425	elders
2.4			eldership
3.45		1.8921	eldest
		1.1461	eldorado
		0.301	eldrich
2.09	13.0	0.6021	eldritch
		2.549	eleanor
2.88			elecampane
2.41	7.28	1.8633	elect
1.86	14.53	0.301	electability
2.14			electable
		2.5694	elected
		1.0	electing
3.17	9.17	2.7489999999999997	election
3.8			electioneer
3.94			electioneerer
		0.301	electioneering
		2.0934	elections
2.38	12.11	1.7243	elective
1.96			electively
1.54			electiveness
		1.1139	electives
1.7			electivity
3.12			elector
2.24	12.0	1.4314	electoral
1.48			electorally
2.67	13.8	1.0	electorate
		0.301	electorial
		0.301	electors
1.89			electorship
		1.7853	electra
3.56	6.36	2.9419999999999997	electric
4.89			electric chair
3.45			electric charge
3.89			electric current
3.93			electric power
4.92			electric razor
4.27			electric shock
3.39	8.1	2.6444	electrical
4.29			electrical engineer
3.74			electrical power
4.2			electrical shock
3.0		1.3617	electrically
4.21	8.75	1.8865	electrician
		1.0792	electricians
3.9	6.6	2.7672	electricity
3.32	7.95	1.1461	electrics
2.28			electrifiable
2.77	10.89	0.301	electrification
		1.5185	electrified
3.96			electrifier
		0.301	electrifies
2.97	9.8	0.7782	electrify
